OD,Dia.,Lg. Max,Min.,Max.,"Rate, lbs./mm",Rate N/mm,Material,Pkg. Qty.,Part Number,Pkg.,Lg.
8,1.6,203.66,8.72,27.34,0.5,2.224110808,302 Stainless Steel,2,1942N479,15.6,15.00
25,3.6,268.1,24.19,88.58,0.82,3.647541725,302 Stainless Steel,1,1942N697,15.62,15.00
25,5,237.69,85.09,207.86,4.28,19.03838851,302 Stainless Steel,1,1942N702,15.8,15.00
22,4.5,291.18,71.71,178.09,2.94,13.07777155,302 Stainless Steel,1,1942N686,14.6,14.00
18,3.6,324.78,44.11,117.98,1.55,6.894743504,302 Stainless Steel,1,1942N65,15.52,15.00
25,5,324.85,85.09,207.86,3.01,13.38914706,302 Stainless Steel,1,1942N703,15.6,15.00
18,2.5,485.87,10.88,44.38,0.18,0.800679891,302 Stainless Steel,1,1942N644,16.05,16.00
2.5,0.5,9.61,0.85,3.01,1.495,6.650091315,302 Stainless Steel,2,8464N101,$19.13 ,19.00
2.8,0.55,10.78,1,3.56,1.531,6.810227293,302 Stainless Steel,2,8464N108,18,18.00
3.5,0.5,13.82,0.46,2.25,0.441,1.961665732,302 Stainless Steel,2,8464N122,15.59,15.00
3.5,0.7,13.46,1.67,5.75,2.079,9.247852738,302 Stainless Steel,2,8464N139,15.59,15.00
3.5,0.5,19.41,0.46,2.25,0.274,1.218812723,302 Stainless Steel,2,8464N123,15.59,15.00
5.5,0.5,25.8,0.18,1.46,0.094,0.418132832,302 Stainless Steel,2,8464N183,15.88,15.00
6,0.55,28,0.22,1.78,0.108,0.480407934,302 Stainless Steel,2,8464N208,17.22,17.00
5.5,0.8,21.4,1.22,5.66,0.749,3.33171799,302 Stainless Steel,2,8464N192,15.59,15.00
2.5,0.5,19.68,0.85,3.01,0.598,2.660036526,302 Stainless Steel,2,8464N103,18,15.00
5.5,0.5,36.6,0.18,1.46,0.058,0.257996854,302 Stainless Steel,2,8464N184,17.22,17.00
4.5,0.63,24.94,0.7,3.43,0.324,1.441223803,302 Stainless Steel,2,8464N154,15.59,15.00
6,0.55,39.7,0.22,1.78,0.067,0.298030848,302 Stainless Steel,2,8464N209,15.59,15.00
4,0.8,21.66,2.18,7.47,1.497,6.658987758,302 Stainless Steel,2,8464N147,17.22,17.00
7,1,27.17,1.84,8.48,0.881,3.918883243,302 Stainless Steel,2,8464N241,19.13,19.00
3,0.63,23.82,1.47,4.91,0.901,4.007847675,302 Stainless Steel,2,8464N117,19.13,19.00
5.5,0.8,30,1.22,5.66,0.468,2.081767716,302 Stainless Steel,2,8464N193,17.22,17.00
7,0.63,46.5,0.28,2.28,0.072,0.320271956,302 Stainless Steel,2,8464N233,19.13,19.00
5.5,0.5,52.9,0.18,1.46,0.038,0.169032421,302 Stainless Steel,2,8464N185,15.59,15.00
4.5,0.63,35.7,0.7,3.43,0.207,0.920781874,302 Stainless Steel,2,8464N155,17.22,17.00
7.5,0.7,48.7,0.38,2.88,0.092,0.409236389,302 Stainless Steel,2,8464N258,19.13,19.00
5,1,27,3.4,11.39,1.855,8.251451096,302 Stainless Steel,2,8464N177,16.69,16.00
5,0.7,39.6,0.87,4.23,0.229,1.01864275,302 Stainless Steel,2,8464N17,17.22,17.00
3.5,0.5,41.8,0.46,2.25,0.11,0.489304378,302 Stainless Steel,2,8464N125,15.88,15.00
4,0.8,31.26,2.18,7.47,0.955,4.248051643,302 Stainless Steel,2,8464N148,15.59,15.00
7,1,38.1,1.84,8.48,0.551,2.45097011,302 Stainless Steel,2,8464N242,19.13,19.00
8.5,1.2,46,2.59,11.76,0.634,2.820172504,302 Stainless Steel,2,8464N282,21.22,21.00
6,0.55,86.6,0.22,1.78,0.027,0.120101984,302 Stainless Steel,2,8464N211,17.22,17.00
7,1,54.4,1.84,8.48,0.342,1.521291792,302 Stainless Steel,2,8464N243,19.13,19.00
7,0.63,101.5,0.28,2.28,0.029,0.128998427,302 Stainless Steel,2,8464N235,19.13,19.00
10,0.9,94.1,0.57,4.49,0.065,0.289134405,302 Stainless Steel,2,8464N308,19.5,19.00
6,1.2,46.5,4.9,15.97,1.43,6.36095691,302 Stainless Steel,2,8464N219,23.47,23.00
5.5,0.5,116.1,0.18,1.46,0.016,0.071171546,302 Stainless Steel,2,8464N187,15.88,15.00
11,1,102.3,0.72,5.54,0.076,0.338064843,302 Stainless Steel,2,8464N333,$17.34 ,17.00
5,1,51.25,3.4,11.39,0.854,3.798781259,302 Stainless Steel,2,8464N179,16.84,16.00
